order_id,origin_site_id,origin_name,origin_city,origin_state,origin_zip,customer_name,delivery_city,delivery_state,delivery_zip,delivery_address,order_date,delivery_due_date,total_usd,item_count,status
ORD-10013,MFG-01,Midwest Plant,Chicago,IL,60686,Atlas LLC,Austin,TX,78772,320 Main St,2026-02-21,2026-03-04,6100.39,10,picked
ORD-10014,MFG-02,South Central DC,Dallas,TX,75272,Fusion Services,Chicago,IL,60678,2061 Oak Ave,2026-02-24,2026-03-03,4253.4,18,delivered
ORD-10015,MFG-04,Southeast Plant,Atlanta,GA,30379,United Co,San Antonio,TX,78249,6538 Highway 10,2026-02-22,2026-03-02,22505.41,15,shipped
ORD-10016,MFG-02,South Central DC,Dallas,TX,75253,United LLC,New York,NY,10085,9076 Oak Ave,2026-02-18,2026-03-02,1914.18,1,delivered
ORD-10017,MFG-01,Midwest Plant,Chicago,IL,60652,Atlas Supplies,Chicago,IL,60675,3900 Industrial Blvd,2026-02-24,2026-03-03,13549.96,7,delivered
ORD-10018,MFG-04,Southeast Plant,Atlanta,GA,30370,Summit LLC,Columbus,OH,43234,1546 Main St,2026-02-23,2026-03-02,10675.93,12,shipped
ORD-10019,MFG-01,Midwest Plant,Chicago,IL,60661,United LLC,Austin,TX,78723,4074 Oak Ave,2026-02-23,2026-02-28,10633.76,5,shipped
ORD-10020,MFG-08,Pacific Northwest DC,Seattle,WA,98180,Central Services,Houston,TX,77016,8857 Warehouse Rd,2026-02-15,2026-02-27,4282.83,8,shipped
ORD-10021,MFG-01,Midwest Plant,Chicago,IL,60631,Crown Supply,Fort Worth,TX,76110,6397 Industrial Blvd,2026-02-24,2026-03-04,10661.74,10,delivered
ORD-10022,MFG-03,Northeast Plant,Philadelphia,PA,19134,Horizon Distribution,San Jose,CA,95137,959 Parkway,2026-02-14,2026-03-03,7943.08,24,open
ORD-10023,MFG-03,Northeast Plant,Philadelphia,PA,19117,Atlas Co,Denver,CO,80220,3045 Main St,2026-02-14,2026-03-02,21566.21,22,shipped
ORD-10024,MFG-01,Midwest Plant,Chicago,IL,60689,United Group,Chicago,IL,60663,9563 Parkway,2026-02-20,2026-03-02,5225.84,9,delivered
ORD-10025,MFG-07,Southwest Plant,Phoenix,AZ,85026,Global LLC,San Jose,CA,95168,5181 Warehouse Rd,2026-02-14,2026-03-04,11538.4,1,delivered
ORD-10026,MFG-04,Southeast Plant,Atlanta,GA,30374,Crown Group,Dallas,TX,75226,5719 Main St,2026-02-18,2026-03-04,7231.94,12,shipped
ORD-10027,MFG-01,Midwest Plant,Chicago,IL,60695,First Materials,Boston,MA,02148,1698 Oak Ave,2026-02-15,2026-02-28,18599.05,4,picked
ORD-10028,MFG-06,Great Lakes Plant,Detroit,MI,48236,Summit Inc,Dallas,TX,75274,8005 Industrial Blvd,2026-02-14,2026-03-04,15911.97,3,delivered
ORD-10029,MFG-06,Great Lakes Plant,Detroit,MI,48226,Pacific Distribution,Dallas,TX,75230,7240 Parkway,2026-02-23,2026-03-03,390.29,18,open
ORD-10030,MFG-01,Midwest Plant,Chicago,IL,60657,Summit Solutions,Nashville,TN,37280,2427 Commerce Dr,2026-02-14,2026-02-27,9211.59,10,delivered
ORD-10031,MFG-04,Southeast Plant,Atlanta,GA,30397,United Corp,San Diego,CA,92195,1685 Industrial Blvd,2026-02-22,2026-03-03,18774.52,20,delivered
ORD-10032,MFG-03,Northeast Plant,Philadelphia,PA,19162,National Corp,New York,NY,10032,5443 Warehouse Rd,2026-02-22,2026-03-04,21621.99,22,delivered
ORD-10033,MFG-02,South Central DC,Dallas,TX,75258,United Co,Los Angeles,CA,90070,3645 Oak Ave,2026-02-24,2026-03-03,7733.99,12,delivered
ORD-10034,MFG-01,Midwest Plant,Chicago,IL,60694,Crown Solutions,San Antonio,TX,78261,5379 Industrial Blvd,2026-02-14,2026-03-04,8875.98,9,delivered
ORD-10035,MFG-01,Midwest Plant,Chicago,IL,60624,Prime Services,Dallas,TX,75232,9513 Industrial Blvd,2026-02-15,2026-02-27,10948.91,20,delivered
ORD-10036,MFG-02,South Central DC,Dallas,TX,75259,Central Solutions,Nashville,TN,37234,4174 Main St,2026-02-23,2026-03-03,13070.02,1,delivered
ORD-10037,MFG-07,Southwest Plant,Phoenix,AZ,85018,Vertex Solutions,Austin,TX,78789,5144 Highway 10,2026-02-16,2026-03-04,22516.16,24,delivered
ORD-10038,MFG-07,Southwest Plant,Phoenix,AZ,85099,Atlas Group,San Jose,CA,95180,2086 Oak Ave,2026-02-22,2026-03-01,18741.14,22,picked
ORD-10039,MFG-07,Southwest Plant,Phoenix,AZ,85080,Sterling Supply,New York,NY,10048,4701 Oak Ave,2026-02-20,2026-03-01,11128.38,15,delivered
ORD-10040,MFG-03,Northeast Plant,Philadelphia,PA,19194,First Co,Chicago,IL,60646,8446 Highway 10,2026-02-21,2026-03-02,20487.82,3,delivered
ORD-10041,MFG-04,Southeast Plant,Atlanta,GA,30328,Central Services,New York,NY,10015,4012 Commerce Dr,2026-02-14,2026-03-02,10448.86,15,delivered
ORD-10042,MFG-08,Pacific Northwest DC,Seattle,WA,98161,Sterling Supply,San Diego,CA,92128,91 Warehouse Rd,2026-02-15,2026-03-04,5588.2,14,delivered
ORD-10043,MFG-01,Midwest Plant,Chicago,IL,60681,Prime Supply,San Diego,CA,92125,7479 Oak Ave,2026-02-24,2026-03-03,13348.63,22,delivered
ORD-10044,MFG-07,Southwest Plant,Phoenix,AZ,85080,Horizon Co,Charlotte,NC,28230,7778 Commerce Dr,2026-02-19,2026-02-28,7041.19,21,delivered
ORD-10045,MFG-05,West Coast DC,Los Angeles,CA,90066,Apex Corp,Chicago,IL,60646,3842 Industrial Blvd,2026-02-20,2026-03-01,2152.35,18,picked
ORD-10046,MFG-04,Southeast Plant,Atlanta,GA,30318,Atlas Inc,Columbus,OH,43262,5422 Parkway,2026-02-23,2026-03-01,5289.83,2,shipped
ORD-10047,MFG-07,Southwest Plant,Phoenix,AZ,85071,Fusion Co,New York,NY,10055,4893 Warehouse Rd,2026-02-23,2026-03-01,18725.76,18,delivered
ORD-10048,MFG-08,Pacific Northwest DC,Seattle,WA,98138,Metro Supply,Dallas,TX,75265,7957 Main St,2026-02-21,2026-03-01,17026.68,22,shipped
ORD-10049,MFG-03,Northeast Plant,Philadelphia,PA,19189,Pioneer Corp,Boston,MA,02113,6456 Parkway,2026-02-13,2026-03-02,16122.33,3,confirmed
ORD-10050,MFG-01,Midwest Plant,Chicago,IL,60643,Vertex Group,Fort Worth,TX,76151,3468 Commerce Dr,2026-02-21,2026-02-28,7064.68,13,delivered
ORD-10051,MFG-02,South Central DC,Dallas,TX,75270,United Co,New York,NY,10079,854 Industrial Blvd,2026-02-14,2026-02-28,1150.41,21,open
ORD-10052,MFG-01,Midwest Plant,Chicago,IL,60689,National Solutions,Phoenix,AZ,85040,2069 Commerce Dr,2026-02-15,2026-03-03,23701.76,19,shipped
ORD-10053,MFG-03,Northeast Plant,Philadelphia,PA,19187,Apex Services,Detroit,MI,48224,2684 Industrial Blvd,2026-02-13,2026-02-27,14458.55,10,delivered
ORD-10054,MFG-04,Southeast Plant,Atlanta,GA,30319,Atlas Inc,Nashville,TN,37298,3979 Main St,2026-02-20,2026-03-03,15070.23,22,confirmed
ORD-10055,MFG-06,Great Lakes Plant,Detroit,MI,48278,Global Services,Columbus,OH,43294,6072 Main St,2026-02-21,2026-03-02,21261.95,1,delivered
ORD-10056,MFG-06,Great Lakes Plant,Detroit,MI,48291,Crown Supply,Charlotte,NC,28229,7136 Oak Ave,2026-02-25,2026-03-03,6861.55,21,delivered
ORD-10057,MFG-08,Pacific Northwest DC,Seattle,WA,98165,Pioneer Components,Nashville,TN,37244,5281 Warehouse Rd,2026-02-15,2026-02-28,22058.53,9,picked
ORD-10058,MFG-07,Southwest Plant,Phoenix,AZ,85053,Fusion Group,New York,NY,10073,5326 Oak Ave,2026-02-18,2026-03-01,19976.13,12,shipped
ORD-10059,MFG-01,Midwest Plant,Chicago,IL,60676,Horizon Supply,San Antonio,TX,78220,3955 Highway 10,2026-02-24,2026-03-01,18990.39,18,delivered
ORD-10060,MFG-01,Midwest Plant,Chicago,IL,60621,Sterling Solutions,San Jose,CA,95138,6626 Highway 10,2026-02-20,2026-02-28,14601.66,22,shipped
ORD-10061,MFG-07,Southwest Plant,Phoenix,AZ,85080,Global Distribution,Austin,TX,78755,7435 Industrial Blvd,2026-02-19,2026-02-28,3148.3,8,picked
ORD-10062,MFG-03,Northeast Plant,Philadelphia,PA,19134,Central Group,San Antonio,TX,78271,4531 Highway 10,2026-02-25,2026-03-02,7182.52,20,confirmed
ORD-10063,MFG-04,Southeast Plant,Atlanta,GA,30356,First Corp,Philadelphia,PA,19148,232 Highway 10,2026-02-16,2026-03-02,1281.07,9,open
ORD-10064,MFG-08,Pacific Northwest DC,Seattle,WA,98123,Horizon LLC,New York,NY,10083,4659 Commerce Dr,2026-02-23,2026-03-01,4731.44,11,open
ORD-10065,MFG-02,South Central DC,Dallas,TX,75261,First LLC,Seattle,WA,98119,9454 Highway 10,2026-02-14,2026-03-03,3857.56,5,delivered
ORD-10066,MFG-04,Southeast Plant,Atlanta,GA,30325,First Supplies,Boston,MA,02163,9934 Parkway,2026-02-18,2026-03-03,9602.39,17,delivered
ORD-10067,MFG-05,West Coast DC,Los Angeles,CA,90082,Metro Co,Detroit,MI,48217,9989 Highway 10,2026-02-18,2026-02-27,5393.98,21,delivered
ORD-10068,MFG-03,Northeast Plant,Philadelphia,PA,19180,First Supply,Chicago,IL,60630,44 Commerce Dr,2026-02-24,2026-03-01,961.1,10,shipped
ORD-10069,MFG-02,South Central DC,Dallas,TX,75297,Pacific Group,San Diego,CA,92143,9664 Highway 10,2026-02-17,2026-03-03,3002.19,14,picked
ORD-10070,MFG-03,Northeast Plant,Philadelphia,PA,19119,Apex Group,Los Angeles,CA,90031,5040 Parkway,2026-02-20,2026-03-03,3240.19,15,delivered
ORD-10071,MFG-08,Pacific Northwest DC,Seattle,WA,98166,Atlas Parts,Chicago,IL,60686,654 Commerce Dr,2026-02-20,2026-03-03,6371.64,20,confirmed
ORD-10072,MFG-05,West Coast DC,Los Angeles,CA,90083,Horizon LLC,Los Angeles,CA,90032,7709 Parkway,2026-02-23,2026-03-02,4660.01,9,delivered
ORD-10073,MFG-08,Pacific Northwest DC,Seattle,WA,98154,Apex Distribution,Columbus,OH,43252,5261 Highway 10,2026-02-16,2026-02-27,10379.38,11,shipped
ORD-10074,MFG-01,Midwest Plant,Chicago,IL,60668,Crown Supply,Chicago,IL,60650,4136 Industrial Blvd,2026-02-22,2026-02-27,20649.44,17,open
ORD-10075,MFG-07,Southwest Plant,Phoenix,AZ,85016,National Distribution,San Antonio,TX,78276,5928 Parkway,2026-02-25,2026-03-03,11134.72,21,open
ORD-10076,MFG-03,Northeast Plant,Philadelphia,PA,19146,Crown Services,Charlotte,NC,28299,7942 Main St,2026-02-18,2026-02-27,4085.7,23,delivered
ORD-10077,MFG-02,South Central DC,Dallas,TX,75238,National Services,Houston,TX,77069,1925 Highway 10,2026-02-16,2026-03-04,23326.43,16,shipped
ORD-10078,MFG-08,Pacific Northwest DC,Seattle,WA,98170,Premier Group,San Diego,CA,92168,9032 Oak Ave,2026-02-17,2026-03-01,12779.79,20,delivered
ORD-10079,MFG-07,Southwest Plant,Phoenix,AZ,85053,Pacific Supply,Denver,CO,80244,43 Industrial Blvd,2026-02-20,2026-03-03,14561.1,19,delivered
ORD-10080,MFG-08,Pacific Northwest DC,Seattle,WA,98154,Apex Co,Austin,TX,78780,8904 Commerce Dr,2026-02-20,2026-03-01,24522.25,7,picked
ORD-10081,MFG-07,Southwest Plant,Phoenix,AZ,85015,Atlas Solutions,Austin,TX,78770,6247 Commerce Dr,2026-02-16,2026-03-04,24125.89,16,confirmed
ORD-10082,MFG-02,South Central DC,Dallas,TX,75266,Premier Supply,Houston,TX,77077,7487 Main St,2026-02-16,2026-03-03,21792.68,14,delivered
ORD-10083,MFG-05,West Coast DC,Los Angeles,CA,90053,Prime Supply,Detroit,MI,48298,6513 Highway 10,2026-02-20,2026-02-27,21504.65,22,shipped
ORD-10084,MFG-01,Midwest Plant,Chicago,IL,60689,Global Supply,Chicago,IL,60640,4709 Oak Ave,2026-02-15,2026-03-03,24461.69,14,delivered
ORD-10085,MFG-03,Northeast Plant,Philadelphia,PA,19198,United Distribution,San Jose,CA,95113,754 Industrial Blvd,2026-02-14,2026-03-03,9057.81,10,shipped
ORD-10086,MFG-07,Southwest Plant,Phoenix,AZ,85082,Atlas Corp,Philadelphia,PA,19131,2869 Main St,2026-02-22,2026-03-02,17125.89,20,shipped
ORD-10087,MFG-04,Southeast Plant,Atlanta,GA,30369,Pioneer Solutions,Dallas,TX,75268,4184 Highway 10,2026-02-24,2026-02-27,16988.63,10,picked
ORD-10088,MFG-05,West Coast DC,Los Angeles,CA,90091,Global Co,Columbus,OH,43298,4098 Commerce Dr,2026-02-20,2026-03-04,24984.43,7,delivered
ORD-10089,MFG-07,Southwest Plant,Phoenix,AZ,85083,Summit Goods,Jacksonville,FL,32283,4848 Highway 10,2026-02-13,2026-02-28,9985.77,22,open
ORD-10090,MFG-08,Pacific Northwest DC,Seattle,WA,98146,Pacific LLC,San Diego,CA,92187,5773 Oak Ave,2026-02-17,2026-03-02,6378.08,20,delivered
ORD-10091,MFG-01,Midwest Plant,Chicago,IL,60649,Vertex Corp,Charlotte,NC,28214,9496 Industrial Blvd,2026-02-16,2026-03-03,22754.25,3,shipped
ORD-10092,MFG-04,Southeast Plant,Atlanta,GA,30326,Horizon Group,Boston,MA,02156,8698 Parkway,2026-02-19,2026-03-04,6535.71,6,delivered
ORD-10093,MFG-06,Great Lakes Plant,Detroit,MI,48224,Crown Solutions,Charlotte,NC,28219,2307 Warehouse Rd,2026-02-18,2026-03-04,18146.79,22,delivered
ORD-10094,MFG-02,South Central DC,Dallas,TX,75260,Apex Solutions,New York,NY,10043,8792 Main St,2026-02-21,2026-03-01,18762.94,22,shipped
ORD-10095,MFG-02,South Central DC,Dallas,TX,75296,Pioneer Group,San Diego,CA,92170,411 Parkway,2026-02-20,2026-03-04,5650.97,20,open
ORD-10096,MFG-07,Southwest Plant,Phoenix,AZ,85024,Apex Supply,Phoenix,AZ,85015,610 Industrial Blvd,2026-02-15,2026-03-01,5984.78,4,delivered
ORD-10097,MFG-06,Great Lakes Plant,Detroit,MI,48295,Fusion Services,Boston,MA,02163,9623 Highway 10,2026-02-16,2026-03-03,16424.81,14,delivered
ORD-10098,MFG-05,West Coast DC,Los Angeles,CA,90014,Crown Solutions,Jacksonville,FL,32237,7265 Commerce Dr,2026-02-18,2026-03-04,2618.96,12,delivered
ORD-10099,MFG-01,Midwest Plant,Chicago,IL,60660,Fusion Inc,Dallas,TX,75234,2002 Warehouse Rd,2026-02-24,2026-03-04,16619.8,3,delivered
ORD-10100,MFG-01,Midwest Plant,Chicago,IL,60652,Prime Corp,San Diego,CA,92126,9251 Oak Ave,2026-02-18,2026-02-27,5516.39,19,delivered
ORD-10101,MFG-01,Midwest Plant,Chicago,IL,60645,Acme Solutions,Phoenix,AZ,85026,8851 Industrial Blvd,2026-02-17,2026-03-03,16577.28,4,open
ORD-10102,MFG-04,Southeast Plant,Atlanta,GA,30385,Premier Supply,Austin,TX,78712,2855 Industrial Blvd,2026-02-16,2026-02-27,10610.87,24,confirmed
ORD-10103,MFG-08,Pacific Northwest DC,Seattle,WA,98156,Sterling Group,Denver,CO,80285,1787 Commerce Dr,2026-02-18,2026-03-02,1227.62,20,delivered
ORD-10104,MFG-08,Pacific Northwest DC,Seattle,WA,98192,Pioneer LLC,New York,NY,10017,7848 Warehouse Rd,2026-02-23,2026-03-01,2832.85,22,delivered
ORD-10105,MFG-02,South Central DC,Dallas,TX,75251,Pioneer Distribution,Detroit,MI,48228,1077 Oak Ave,2026-02-20,2026-02-28,24866.5,13,delivered
ORD-10106,MFG-07,Southwest Plant,Phoenix,AZ,85022,Prime Supply,Houston,TX,77093,9034 Highway 10,2026-02-18,2026-03-04,11371.14,14,picked
ORD-10107,MFG-07,Southwest Plant,Phoenix,AZ,85063,Horizon LLC,Houston,TX,77050,6993 Industrial Blvd,2026-02-19,2026-03-03,23846.77,12,delivered
ORD-10108,MFG-02,South Central DC,Dallas,TX,75220,Crown Distribution,Chicago,IL,60665,1583 Highway 10,2026-02-22,2026-03-03,13975.81,5,delivered
ORD-10109,MFG-06,Great Lakes Plant,Detroit,MI,48295,First Solutions,Houston,TX,77062,5794 Warehouse Rd,2026-02-23,2026-03-03,1428.44,24,shipped
ORD-10110,MFG-02,South Central DC,Dallas,TX,75283,Global Group,Denver,CO,80237,2536 Highway 10,2026-02-18,2026-03-01,8850.33,4,delivered
ORD-10111,MFG-04,Southeast Plant,Atlanta,GA,30364,First Solutions,Boston,MA,02189,9122 Main St,2026-02-19,2026-03-02,4633.34,1,delivered
ORD-10112,MFG-06,Great Lakes Plant,Detroit,MI,48210,Premier Distribution,Philadelphia,PA,19128,9279 Highway 10,2026-02-14,2026-03-01,18563.08,5,delivered
ORD-10113,MFG-04,Southeast Plant,Atlanta,GA,30358,Fusion LLC,Columbus,OH,43268,5586 Oak Ave,2026-02-20,2026-03-01,8210.91,24,delivered
ORD-10114,MFG-01,Midwest Plant,Chicago,IL,60629,Pioneer Services,Philadelphia,PA,19189,816 Highway 10,2026-02-19,2026-02-27,16599.18,15,shipped
ORD-10115,MFG-05,West Coast DC,Los Angeles,CA,90037,First Inc,Denver,CO,80224,5656 Commerce Dr,2026-02-19,2026-02-27,17010.38,22,shipped
ORD-10116,MFG-04,Southeast Plant,Atlanta,GA,30360,Global Inc,Detroit,MI,48217,126 Oak Ave,2026-02-18,2026-02-28,19139.4,5,shipped
ORD-10117,MFG-08,Pacific Northwest DC,Seattle,WA,98165,Elite LLC,Philadelphia,PA,19126,6230 Parkway,2026-02-18,2026-03-03,14034.28,17,delivered
ORD-10118,MFG-07,Southwest Plant,Phoenix,AZ,85015,Vertex Group,Columbus,OH,43212,7533 Main St,2026-02-20,2026-03-04,10817.71,19,shipped
ORD-10119,MFG-02,South Central DC,Dallas,TX,75261,Global Co,New York,NY,10051,2816 Warehouse Rd,2026-02-24,2026-03-04,23006.28,23,confirmed
ORD-10120,MFG-07,Southwest Plant,Phoenix,AZ,85085,Metro LLC,Fort Worth,TX,76177,1289 Commerce Dr,2026-02-20,2026-03-04,8586.91,24,shipped
ORD-10121,MFG-02,South Central DC,Dallas,TX,75277,Metro Materials,Denver,CO,80234,5725 Industrial Blvd,2026-02-16,2026-03-03,2704.69,8,shipped
ORD-10122,MFG-02,South Central DC,Dallas,TX,75232,Fusion Solutions,Seattle,WA,98169,9237 Warehouse Rd,2026-02-23,2026-03-02,23115.23,22,delivered
ORD-10123,MFG-06,Great Lakes Plant,Detroit,MI,48229,Premier Group,Charlotte,NC,28218,7683 Commerce Dr,2026-02-20,2026-03-02,14846.78,9,shipped
ORD-10124,MFG-08,Pacific Northwest DC,Seattle,WA,98167,Fusion Components,Los Angeles,CA,90017,6042 Warehouse Rd,2026-02-14,2026-02-28,21626.61,21,delivered
ORD-10125,MFG-07,Southwest Plant,Phoenix,AZ,85069,Summit Supply,Nashville,TN,37280,673 Commerce Dr,2026-02-17,2026-03-04,15184.39,11,delivered
ORD-10126,MFG-02,South Central DC,Dallas,TX,75253,Elite Solutions,Chicago,IL,60674,2828 Main St,2026-02-23,2026-02-28,13173.1,15,delivered
ORD-10127,MFG-05,West Coast DC,Los Angeles,CA,90059,Apex Group,Columbus,OH,43253,9796 Main St,2026-02-21,2026-03-03,8342.82,3,delivered
ORD-10128,MFG-05,West Coast DC,Los Angeles,CA,90094,Apex Corp,Detroit,MI,48229,5462 Main St,2026-02-16,2026-03-02,7859.26,12,delivered
ORD-10129,MFG-02,South Central DC,Dallas,TX,75249,Elite Inc,Boston,MA,02158,5382 Warehouse Rd,2026-02-25,2026-02-27,16203.72,3,shipped
ORD-10130,MFG-06,Great Lakes Plant,Detroit,MI,48249,First LLC,Philadelphia,PA,19137,5599 Warehouse Rd,2026-02-17,2026-03-01,24999.42,8,picked
ORD-10131,MFG-01,Midwest Plant,Chicago,IL,60694,Fusion Corp,Austin,TX,78789,2148 Parkway,2026-02-16,2026-03-01,4644.02,6,delivered
ORD-10132,MFG-08,Pacific Northwest DC,Seattle,WA,98115,United Group,Columbus,OH,43256,3892 Commerce Dr,2026-02-19,2026-03-02,19627.44,24,picked
ORD-10133,MFG-08,Pacific Northwest DC,Seattle,WA,98134,Metro Co,Jacksonville,FL,32296,9346 Commerce Dr,2026-02-19,2026-03-01,12647.23,13,shipped
ORD-10134,MFG-03,Northeast Plant,Philadelphia,PA,19142,First LLC,Los Angeles,CA,90092,7874 Warehouse Rd,2026-02-15,2026-03-01,21170.42,23,delivered
ORD-10135,MFG-03,Northeast Plant,Philadelphia,PA,19144,Acme Services,Charlotte,NC,28275,2415 Warehouse Rd,2026-02-15,2026-03-01,20445.08,8,delivered
ORD-10136,MFG-01,Midwest Plant,Chicago,IL,60660,Prime Corp,Denver,CO,80257,3863 Commerce Dr,2026-02-22,2026-02-27,850.46,8,delivered
ORD-10137,MFG-03,Northeast Plant,Philadelphia,PA,19114,Acme Group,San Jose,CA,95170,2274 Warehouse Rd,2026-02-24,2026-03-03,15441.4,15,delivered
ORD-10138,MFG-04,Southeast Plant,Atlanta,GA,30329,Vertex Supplies,Boston,MA,02187,8648 Commerce Dr,2026-02-19,2026-02-27,7633.61,8,open
ORD-10139,MFG-02,South Central DC,Dallas,TX,75224,Vertex Inc,Seattle,WA,98186,8783 Main St,2026-02-25,2026-03-02,6162.16,19,confirmed
ORD-10140,MFG-06,Great Lakes Plant,Detroit,MI,48240,Sterling Distribution,Nashville,TN,37263,3069 Highway 10,2026-02-15,2026-03-03,24370.16,17,open
ORD-10141,MFG-01,Midwest Plant,Chicago,IL,60659,Global Goods,Seattle,WA,98115,6339 Industrial Blvd,2026-02-13,2026-02-28,19744.72,12,shipped
ORD-10142,MFG-06,Great Lakes Plant,Detroit,MI,48227,Metro Corp,Los Angeles,CA,90055,8946 Industrial Blvd,2026-02-17,2026-03-03,11695.88,22,delivered
ORD-10143,MFG-02,South Central DC,Dallas,TX,75268,Apex Distribution,Los Angeles,CA,90047,3303 Main St,2026-02-17,2026-03-03,7992.56,2,shipped
ORD-10144,MFG-08,Pacific Northwest DC,Seattle,WA,98142,Elite Services,Los Angeles,CA,90092,3132 Industrial Blvd,2026-02-14,2026-03-01,8398.33,21,confirmed
ORD-10145,MFG-07,Southwest Plant,Phoenix,AZ,85066,Premier Services,Fort Worth,TX,76153,3061 Commerce Dr,2026-02-25,2026-03-03,23119.12,12,delivered
ORD-10146,MFG-02,South Central DC,Dallas,TX,75265,Pioneer Goods,Detroit,MI,48233,8938 Industrial Blvd,2026-02-15,2026-02-28,8298.81,3,shipped
ORD-10147,MFG-07,Southwest Plant,Phoenix,AZ,85031,Summit LLC,Charlotte,NC,28254,7326 Main St,2026-02-21,2026-03-03,24954.04,20,shipped
ORD-10148,MFG-07,Southwest Plant,Phoenix,AZ,85056,Elite Solutions,Denver,CO,80296,2622 Main St,2026-02-23,2026-02-27,3286.82,2,picked
ORD-10149,MFG-07,Southwest Plant,Phoenix,AZ,85082,Pacific Distribution,Los Angeles,CA,90087,2514 Highway 10,2026-02-22,2026-03-01,11181.89,12,open
ORD-10150,MFG-06,Great Lakes Plant,Detroit,MI,48260,Apex Distribution,Austin,TX,78793,4567 Oak Ave,2026-02-15,2026-03-04,18431.52,1,shipped
ORD-10151,MFG-02,South Central DC,Dallas,TX,75243,Pioneer Corp,Dallas,TX,75267,3516 Parkway,2026-02-24,2026-02-28,3197.54,7,delivered
ORD-10152,MFG-08,Pacific Northwest DC,Seattle,WA,98121,Metro Solutions,Austin,TX,78795,5693 Highway 10,2026-02-20,2026-02-27,21306.35,10,delivered
ORD-10153,MFG-04,Southeast Plant,Atlanta,GA,30325,Crown Corp,San Antonio,TX,78227,3879 Warehouse Rd,2026-02-13,2026-03-01,13917.43,12,shipped
ORD-10154,MFG-02,South Central DC,Dallas,TX,75218,Premier Supply,San Jose,CA,95160,7843 Parkway,2026-02-22,2026-03-01,1982.71,19,delivered
ORD-10155,MFG-08,Pacific Northwest DC,Seattle,WA,98197,Summit LLC,Denver,CO,80254,2103 Warehouse Rd,2026-02-17,2026-03-03,10900.56,5,delivered
ORD-10156,MFG-03,Northeast Plant,Philadelphia,PA,19148,National Co,Philadelphia,PA,19130,5287 Highway 10,2026-02-21,2026-02-28,22388.91,17,delivered
ORD-10157,MFG-05,West Coast DC,Los Angeles,CA,90026,Fusion Equipment,San Jose,CA,95188,8741 Main St,2026-02-17,2026-03-02,23548.93,19,picked
ORD-10158,MFG-01,Midwest Plant,Chicago,IL,60613,Horizon Distribution,Chicago,IL,60615,9450 Industrial Blvd,2026-02-18,2026-03-02,10502.18,19,delivered
ORD-10159,MFG-05,West Coast DC,Los Angeles,CA,90092,Metro Supply,San Jose,CA,95171,4013 Warehouse Rd,2026-02-22,2026-03-03,11420.57,10,delivered
ORD-10160,MFG-07,Southwest Plant,Phoenix,AZ,85071,Elite Services,Charlotte,NC,28236,5574 Parkway,2026-02-20,2026-02-27,8085.01,23,delivered
ORD-10161,MFG-03,Northeast Plant,Philadelphia,PA,19157,Global Inc,Denver,CO,80281,1740 Industrial Blvd,2026-02-24,2026-02-28,6796.67,4,picked
